品牌,品牌中文名,型号,产品线,价格,续航,最高时速,电池说明,电机功率,峰值功率,充电器与充电时间,制动,减震,车架材质,整车质量,最大载重,轴距,座高,长宽高,离地间隙,轮胎轮圈,智能化及其他,其它列_JSON,原始来源文件
NIU,小牛,RQi CBS 动力版,电动摩托车,29980 元（厂商指导价，汽车之家等）,119 公里,100 千米/时,NIU ENERGY? 锂电 72 5184 25,5 千瓦,,4 电池单充／车身充电 TRUE,CBS,前：液力阻尼 后：弹簧-空气阻尼,钢,,336,,,2080×835×1084 毫米,167,17 英寸,APP：是,,niu-total.csv
NIU,小牛,RQi ABS 动力版,电动摩托车,32980 元（厂商指导价）,119 公里,100 千米/时,NIU ENERGY? 锂电 72 5184 25,5 千瓦,,4 电池单充／车身充电 TRUE,ABS+TCS,前：液力阻尼 后：弹簧-空气阻尼,钢,,336,,,2080×835×1084 毫米,167,17 英寸,APP：是,,niu-total.csv
NIU,小牛,X3 Sport 电轻摩版,电动摩托车,23980 元（指导价参考，略低于电摩版）,116 公里,100 千米/时,NIU ENERGY? 锂电 72 2592 15,,8 千瓦,5.3 车身充电 TRUE,前220mm碟刹 后203mm碟刹,前-阻尼预载可调倒置减震 后-阻尼预载可调减震,锻造铝车架,,146,,,1995×785×1036 毫米,237,19 英寸,APP：是,,niu-total.csv
NIU,小牛,X3 Sport 电摩版,电动摩托车,24980 元（厂商指导价，58摩托等）,64 公里,75 千米/时,NIU ENERGY? 锂电 72 2592 15,,8 千瓦,5.3 车身充电 TRUE,前220mm碟刹 后203mm碟刹,前-阻尼预载可调倒置减震 后-阻尼预载可调减震,锻造铝车架,,151,,,2015×835×1090 毫米,237,19 英寸,APP：是,,niu-total.csv
Sur-Ron,虬龙,幼蜂,电动摩托车,约 19580 元（轻蜂系列国内参考价）,56km@40km/h,65 千米/时,三元锂电58 伏/22Ah,永磁同步电机+矢量正弦波控制器 | 一级齿轮传动+二级链条传动 | 三级可调,8 千瓦 | 185N.m,50.4V5A-磁吸充电 | 2h,,无 | 无 | 170mm | 60/185mm,锻造铝合金,39kg,55kg,1035mm,"标准座高685mm
可调范围665mm-705mm",1500x680x885mm,240mm-260mm,"前越野胎-60/100-14
后越野胎-70/100-12",动力模式：前进一至三挡与倒挡 R；动力辅助功能：滑行能量回收三级可调/SAWC；GPS定位系统：手机应用互联；遥控功能：对讲功能｜动力模式设置；安全功能：磁吸式紧急断电开关｜遥控紧急断电；倾倒保护：电子陀螺仪（可在仪表菜单中关闭）；蠕行模式：无,,Sur-Ron-total.csv
Sur-Ron,虬龙,2025轻蜂X,电动摩托车,19800 元（人民币标价）,75km@40km/h,75 千米/时,高倍率三元锂电池：60 伏/40Ah,高速永磁同步电机+矢量正弦波控制器 | 无 | 二级可调,8 千瓦 | 266N.m,无 | 2h,,"倒置式油簧前叉/行程200mm | Intersect TR型多连杆后悬挂系统
后减震器带气囊全可调85/210mm | 无 | 无",锻造铝合金,45kg/57kg,100kg,1255mm,830mm,1850mm×780mm×1080mm,270mm,"前越野胎70/100-19
后越野胎3.00-18",动力模式：运动+经济模式；动力辅助功能：动能回收；GPS定位系统：手机应用互联；遥控功能：无；安全功能：无；倾倒保护：无；蠕行模式：无,,Sur-Ron-total.csv
Sur-Ron,虬龙,2025轻蜂3C,电动摩托车,19800 元（与同系列轻蜂 X 指导价参考）,75km@40km/h,75 千米/时,高倍率三元锂电池60 伏/40Ah,高速永磁同步电机+矢量正弦波控制器 | 无 | 二级可调,8000 瓦 | 266N.m,无 | 2h,,无 | 无 | 200mm | 85/210mm,锻造铝合金,60kg,100kg,1255mm,830mm,1885*780*1080mm,270mm,"前越野胎70/100-19
后越野胎3.00-18",动力模式：运动+经济模式；动力辅助功能：动能回收；GPS定位系统：手机应用互联；遥控功能：无；安全功能：无；倾倒保护：无；蠕行模式：无,,Sur-Ron-total.csv
Sur-Ron,虬龙,2025 轻蜂电轻摩,电动摩托车,约 18800 元（电轻摩版参考）,68km@40km/h,50 千米/时,高倍率三元锂电池60 伏/40Ah,高速永磁同步电机+矢量正弦波控制器 | 无 | 二级可调,8000 瓦 | 322N.m,无 | 2h,,无 | 无 | 200mm | 85/210mm,锻造铝合金,60kg,100kg,1255mm,830mm,1885*780*1080mm,270mm,"前越野胎70/100-19
后越野胎3.00-19",动力模式：运动+经济模式；动力辅助功能：动能回收；GPS定位系统：手机应用互联；遥控功能：无；安全功能：无；倾倒保护：无；蠕行模式：无,,Sur-Ron-total.csv
Sur-Ron,虬龙,极蜂3C 性能版,电动摩托车,29520 元（人民币标价）,115km@50km/H,95 千米/时,三元锂电池74 伏/60Ah,永磁同步电机+矢量正弦波控制器 | 碳纤维皮带+锻造带轮+碳化钨涂层 | 三级可调,21 千瓦 | 511N.m,85.7V/15A-充电器功能3档调节-U1(425W)-U2(765W)-U3(1100W) | 2.5h,,无 | 无 | 240mm | 85mm/240mm,锻造铝合金,71kg/92kg,150kg,1380mm,850mm,2080×850×1180mm,315mm,"前越野胎-80/100-19
后越野胎-100/90-18","动力模式：经济/日常/运动模式/蠕行模式/倒挡R/Turbo档；动力辅助功能：SRTC越野型ASR牵引力控制系统+
多级可调动能回收BERS；GPS定位系统：手机应用互联；遥控功能：无；安全功能：无；倾倒保护：电子陀螺仪（可在仪表菜单中关闭）；蠕行模式：三级可调",,Sur-Ron-total.csv
Sur-Ron,虬龙,极蜂3C 全地形,电动摩托车,23800 元（人民币标价）,104km@50km/H,>90 千米/时,三元锂电池74 伏/55Ah,永磁同步电机+矢量正弦波控制器 | 无 | 无,12.5 千瓦 | 440N.m,无 | 4.5h,,无 | 无 | 240mm | 85mm/240mm,锻造铝合金,93kg,150kg（双人）,1380mm,850mm,2060mm×880mm×1178mm,315mm,"前全地形胎-90/90-19
后全地形胎-120/80-18","动力模式：经济/日常/运动模式/倒挡R；动力辅助功能：SRTC-越野型ASR牵引力控制系统
多级可调动能回收BERS；GPS定位系统：手机应用互联；遥控功能：无；安全功能：无；倾倒保护：无；蠕行模式：无",,Sur-Ron-total.csv
Sur-Ron,虬龙,极蜂3C 越野版,电动摩托车,约 24800 元（指导价参考）,104km@50km/h,＞90 千米/时,三元锂电池74 伏/55Ah,永磁同步电机+矢量正弦波控制器 | 无 | 无,12.5 千瓦 | 440N.m,无 | 4.5h,,无 | 无 | 240mm | 85mm/240mm,锻造铝合金,89kg,150kg（双人）,1380mm,910mm,2060mm×880mm×1178mm,318mm,"前越野胎-80/100-19
后越野胎-90/90-19","动力模式：经济/日常/运动模式/倒挡R；动力辅助功能：SRTC-越野型ASR牵引力控制系统
多级可调动能回收BERS；GPS定位系统：手机应用互联；遥控功能：无；安全功能：无；倾倒保护：无；蠕行模式：无",,Sur-Ron-total.csv
RFN,,SX-E2,电动摩托车,约 13000 元（海外约 1799 USD×7.25，非国内零售价）,18 公里,45 千米/时,锂电池 720,1 千瓦,,,液压碟刹,阻尼悬挂 阻尼悬挂,,,,1030,600-690,,,,APP：是,"{""包装数量"": ""40 英尺高柜约 236 台"", ""适合人群"": ""青年"", ""骑手推荐身高"": ""110-140 厘米""}",RFN.csv
RFN,,SX-E3,电动摩托车,约 13000 元（海外约 1799 USD×7.25，非国内零售价）,18 公里,50 千米/时,锂电池 720,2 千瓦,,,液压碟刹,阻尼悬挂 阻尼悬挂,,,,1032,600/650,,,,APP：是,"{""包装数量"": ""40 英尺高柜约 236 台"", ""适合人群"": ""青年"", ""骑手推荐身高"": ""110-130 厘米""}",RFN.csv
RFN,,SX-E5,电动摩托车,约 17400 元（海外约 2399 USD×7.25）,30 公里,60 千米/时,锂电池 1200,2 千瓦,,,液压碟刹,双可调阻尼减震器 双可调阻尼减震器,,,,1032,615/665,,,,APP：是,"{""包装数量"": ""40 英尺高柜约 236 台"", ""适合人群"": ""青年"", ""骑手推荐身高"": ""120-140 厘米""}",RFN.csv
RFN,,SX-E8,电动摩托车,约 24700 元（海外约 3399 USD×7.25）,60 公里,85 千米/时,锂电池 2100,6 千瓦,,,液压碟刹,双可调阻尼减震器 双可调阻尼减震器,,,,1145,745,,,,APP：是,"{""包装数量"": ""40 英尺高柜约 168 台"", ""适合人群"": ""青年"", ""骑手推荐身高"": ""140-160 厘米""}",RFN.csv
RFN,,SX-E10,电动摩托车,约 29000 元（海外约 3999 USD×7.25）,100 公里,80 千米/时,锂电池 3360,8 千瓦,,,液压碟刹,双可调阻尼减震器 双可调阻尼减震器,,,,1145,745,,,,APP：是,"{""包装数量"": ""40 英尺高柜约 168 台"", ""适合人群"": ""青年"", ""骑手推荐身高"": ""140-160 厘米""}",RFN.csv
RFN,,SX-E15,电动摩托车,约 38400 元（海外约 5299 USD×7.25）,80 公里,90 千米/时,锂电池 2960,8 千瓦,,,液压碟刹,双可调阻尼减震器 双可调阻尼减震器,,,,1340,880,,,,APP：是,"{""包装数量"": ""40 英尺高柜约 124 台"", ""适合人群"": ""成人"", ""骑手推荐身高"": ""160 厘米+""}",RFN.csv
RFN,,SX-E15 Plus,电动摩托车,约 41300 元（海外约 5699 USD×7.25）,80 公里,100 千米/时,锂电池 2960,8 千瓦,,,液压碟刹,双可调阻尼减震器 双可调阻尼减震器,,,,1340,920,,,,APP：是,"{""包装数量"": ""40 英尺高柜约 124 台"", ""适合人群"": ""成人"", ""骑手推荐身高"": ""170 厘米+""}",RFN.csv
RFN,,RALLY,电动摩托车,约 25400 元（海外约 3499 USD×7.25）,140 公里,65 千米/时,锂电池 2590,5 千瓦,,,液压碟刹,双可调阻尼减震器 双可调阻尼减震器,,,,1330,860,,,,APP：是,"{""包装数量"": ""40 英尺高柜约 144 台"", ""适合人群"": ""成人"", ""骑手推荐身高"": ""160 厘米+""}",RFN.csv
RFN,,RALLY PRO,电动摩托车,约 29000 元（海外约 3999 USD×7.25）,140 公里,78 千米/时,锂电池 3132,6.5 千瓦,,,液压碟刹,双可调阻尼减震器 双可调阻尼减震器,,,,1330,860,,,,APP：是,"{""包装数量"": ""40 英尺高柜约 144 台"", ""适合人群"": ""成人"", ""骑手推荐身高"": ""160 厘米+""}",RFN.csv
RFN,,ENDURANCE,电动摩托车,约 21700 元（海外约 2999 USD×7.25）,160 公里,45 千米/时,锂电池 2590,4 千瓦,,,液压碟刹,双可调阻尼减震器 双可调阻尼减震器,,,,1330,860,,,,APP：是,"{""包装数量"": ""40 英尺高柜约 144 台"", ""适合人群"": ""成人"", ""骑手推荐身高"": ""160 厘米+""}",RFN.csv
RFN,,ROAD,电动摩托车,约 21700 元（海外约 2999 USD×7.25）,160 公里,45 千米/时,锂电池 2590,4 千瓦,,,液压碟刹,双可调阻尼减震器 双可调阻尼减震器,,,,1330,835,,,,APP：是,"{""包装数量"": ""40 英尺高柜约 144 台"", ""适合人群"": ""成人"", ""骑手推荐身高"": ""150 厘米+""}",RFN.csv
RFN,,SX-E150,电动摩托车,约 5800 元（海外约 799 USD×7.25）,8 公里,13 千米/时,锂电池 26.4,0.15 千瓦,,,机械碟刹,弹簧悬挂,,,,665,460,,,,APP：是,"{""包装数量"": ""40 英尺高柜约625Pcs"", ""适合人群"": ""儿童"", ""骑手推荐身高"": ""90-110 厘米""}",RFN.csv
RFN,,SX-E250,电动摩托车,约 8700 元（海外约 1199 USD×7.25）,15 公里,25 千米/时,锂电池 187.2,0.25 千瓦,,,机械碟刹,弹簧悬挂 弹簧悬挂,,,,665,460,,,,APP：是,"{""包装数量"": ""40 英尺高柜约625Pcs"", ""适合人群"": ""儿童"", ""骑手推荐身高"": ""90-110 厘米""}",RFN.csv
RFN,,SX-E350,电动摩托车,约 10100 元（海外约 1399 USD×7.25）,13 公里,30 千米/时,锂电池 180,0.35 千瓦,,,机械碟刹,弹簧悬挂 弹簧悬挂,,,,685,490,,,,APP：是,"{""包装数量"": ""40 英尺高柜约625Pcs"", ""适合人群"": ""儿童"", ""骑手推荐身高"": ""100-120 厘米""}",RFN.csv
RFN,,SX-E500,电动摩托车,约 11600 元（海外约 1599 USD×7.25）,18 公里,35 千米/时,锂电池 270,0.5 千瓦,,,液压碟刹,弹簧悬挂 弹簧悬挂,,,,685,490,,,,APP：是,"{""包装数量"": ""40 英尺高柜约625Pcs"", ""适合人群"": ""儿童"", ""骑手推荐身高"": ""100-120 厘米""}",RFN.csv
Talaria,,Komodo_Mx,电动摩托车,约 32800 元（Komodo 系列国内/出口参考价区间）,115KM @ 45KM/H,105 千米/时,97.2 伏/45Ah (4374 瓦时) | Samsung 50s / LG H51 | 96 伏,8.6 千瓦 | Air-Cooled 4-Layer Hairpin DC Motor,32 千瓦,TFT MULTI-FUNCTION DISPLAY | 4-Level Regen + Regen Switch | E/S/H+R,FR./RR. HYDRAULIC DISC BRAKE,Adjustable ?43 Aluminum Closed Cartridge + Air Chamber Fork with 250mm Travel | Adjustable Closed Cartridge + Piggyback Reservoir + 90mm Travel Rr. Shock Absorber with Linkage,NO.6061 T4 &T6 ALUMINUM ALLOY | FORGED BY 6000 TONS PRESSURE,98KG,,1380mm,910mm,2200mm×810mm×1220mm,315mm,Fr.: 70/100-21; Rr.: 90/100-18,,"{""HANDLEBAR LENGTH"": ""800 毫米"", ""MAX. GRADEABILITY"": ""¡Ý45°"", ""MAX. LOADING ABILITY"": ""160 千克"", ""MOTOR EFFICIENCY"": ""95%"", ""TORQUE ON REAR WHEEL"": ""754N.m"", ""一级传动"": ""Gearbox"", ""二级传动"": ""CHAIN"", ""大灯"": ""Without Headlight"", ""峰值扭矩"": ""90N.m"", ""控制器类型"": ""MPTA+FOC"", ""齿比"": ""8.38 (14T/53T sprockets setting)""}",talaria.csv
Talaria,,Komodo_L3E,电动摩托车,约 32800 元（同上）,115KM @ 45KM/H,105 千米/时,97.2 伏/45Ah (4374 瓦时) | Samsung 50s / LG H51 | 96 伏,8.6 千瓦 | Air-Cooled 4-Layer Hairpin DC Motor,32 千瓦,TFT MULTI-FUNCTION DISPLAY | 4-Level Regen + Regen Switch | E/S/H+R,FR./RR. HYDRAULIC DISC BRAKE,Adjustable ?43 Aluminum Closed Cartridge + Air Chamber Fork with 250mm Travel | Adjustable Closed Cartridge + Piggyback Reservoir + 90mm Travel Rr. Shock Absorber with Linkage,NO.6061 T4 &T6 ALUMINUM ALLOY | FORGED BY 6000 TONS PRESSURE,98KG,,1380mm,910mm,2200mm×810mm×1220mm,315mm,Fr.: 70/100-21; Rr.: 90/100-18,,"{""HANDLEBAR LENGTH"": ""800 毫米"", ""MAX. GRADEABILITY"": ""¡Ý45°"", ""MAX. LOADING ABILITY"": ""160 千克"", ""MOTOR EFFICIENCY"": ""95%"", ""TORQUE ON REAR WHEEL"": ""754N.m"", ""一级传动"": ""Gearbox"", ""二级传动"": ""CHAIN"", ""大灯"": ""Without Headlight"", ""峰值扭矩"": ""90N.m"", ""控制器类型"": ""MPTA+FOC"", ""齿比"": ""8.38 (14T/53T sprockets setting)""}",talaria.csv
Talaria,,xXx_PRO_MX,电动摩托车,约 23800 元（海外 Sting/xxx 系参考）,100KM @25KM/H,75 千米/时,60 伏/40Ah (2400 瓦时) | LG Brand 21700 Cell | 60 伏,2500 瓦 | AIR-COOLED DC IPM,6000 瓦,TFT MULTI-FUNCTION DISPLAY | 4-LEVEL REGEN | ECO/SPORT,FR./RR. HYDRAULIC DISC BRAKE,HI-PERFORMANCE HYDRAULIC FORK | PRO OFF-ROAD PERFORMANCE ABSORBER with Linkage,NO.6061 T4 &T6 ALUMINUM ALLOY | ALUMINUM PROFILE EXTRUSION & FORGED,56KG (Battery Pack Included),,1240mm,810mm,1840mm×770mm×1080mm,260mm,"CST Brand, Fr.: 70/100-19; Rr.:80/100-17",,"{""HANDLEBAR LENGTH"": ""760 毫米"", ""MAX. GRADEABILITY"": ""¡Ý45°"", ""MAX. LOADING ABILITY"": ""100 千克"", ""MOTOR EFFICIENCY"": ""92%"", ""TORQUE ON REAR WHEEL"": ""233N.m"", ""一级传动"": ""皮带"", ""二级传动"": ""CHAIN"", ""大灯"": ""LED"", ""峰值扭矩"": ""34N.m"", ""控制器类型"": ""FOC"", ""齿比"": ""6.85""}",talaria.csv
